"Band Number" Wavelength
1 389.081
6 390.974
79 418.491
178 455.442
231 475.048
332 512.067
431 547.908
570 597.476
654 626.997
753 661.361
832 688.447
873 702.385
892 708.816
907 713.881
939 724.65
970 735.034
984 739.708
1012 749.027
1028 754.334
1049 761.281
