"Band Number" Wavelength
89 413.983
282 485.723
351 510.974
364 515.707
386 523.7
402 529.5
475 555.813
511 568.699
517 570.841
543 580.104
597 599.243
628 610.168
641 614.737
684 629.791
757 655.147
772 660.326
804 671.339
861 690.832
912 708.14
931 714.556
998 737.038
1049 754.003
1077 763.262
1108 773.467
1171 794.057
1200 803.468
1245 817.986
1309 838.455
1351 851.772
1400 867.194
1492 895.808
1569 919.412
