"Band Number" Wavelength
8 453.215
202 524.426
287 555.095
544 645.798
659 685.376
729 709.154
787 728.675
853 750.687
984 793.732
1103 832.081
1199 862.486
1256 880.312
1286 889.626
1326 901.969
1355 910.866
1370 915.449
1382 919.108
1393 922.455
1403 925.491
1411 927.917
1417 929.734
1423 931.549
1430 933.664
1437 935.777
1442 937.284
1447 938.79
1453 940.595
1459 942.399
1465 944.2
1471 946.0
1476 947.498
1483 949.593
