"Band Number" Wavelength
58 442.055
192 491.597
249 512.431
266 518.616
281 524.063
306 533.118
336 543.948
369 555.813
417 572.982
437 580.104
488 598.183
516 608.057
531 613.332
580 630.489
650 654.802
706 674.084
756 691.173
807 708.478
816 711.519
861 726.663
902 740.375
914 744.372
938 752.345
968 762.272
1033 783.624
1073 796.658
1172 828.566
1251 853.668
