"Band Number" Wavelength
174 484.988
189 490.497
250 512.795
280 523.7
325 539.982
341 545.749
365 554.377
420 574.051
437 580.104
489 598.536
573 628.045
808 708.816
823 713.881
900 739.708
923 747.365
1016 778.06
1058 791.779
1091 802.497
1179 830.804
1254 854.614
