"Band Number" Wavelength
7 422.993
14 425.616
15 425.99
16 426.365
23 428.985
50 439.072
144 473.942
903 740.708
1007 775.108
1069 795.358
1121 812.191
1125 813.48
1173 828.886
1201 837.818
1392 897.659
1401 900.431
1402 900.739
1435 910.866
1436 911.171
1448 914.839
1449 915.144
1454 916.67
1457 917.584
1458 917.889
1459 918.194
1464 919.717
1469 921.238
1474 922.758
1483 925.491
1485 926.098
1487 926.705
1497 929.734
